parent_id,sku,width,height,length,weight,regular_price,type,featured,stock_status,backorders,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s)
HPICS,HPICS101N6E,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,EPDM
HPICS,HPICS201N6E,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,EPDM
HPICS,HPICS301N6E,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,EPDM
HPICS,HPICS101F6E,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,EPDM
HPICS,HPICS201F6E,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,EPDM
HPICS,HPICS301F6E,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,EPDM
HPICS,HPICS101T6E,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,EPDM
HPICS,HPICS201T6E,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,EPDM
HPICS,HPICS301T6E,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,EPDM
HPICS,HPICS101N4E,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,EPDM
HPICS,HPICS201N4E,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,EPDM
HPICS,HPICS301N4E,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,EPDM
HPICS,HPICS101F4E,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,EPDM
HPICS,HPICS201F4E,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,EPDM
HPICS,HPICS301F4E,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,EPDM
HPICS,HPICS101T4E,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,EPDM
